Event ID,Season,MatchDay,Year,Month,Day,Date,Home Team,Away Team,Home Score,Away Score,Home ML,Draw ML,Away ML,,,
,CL25,8,2025,2,23,2/23/25,SAN,ATLX,2,0,200,235,135,,,
,CL25,9,2025,2,25,2/25/25,TIG,JUA,0,1,-235,370,600,,,
,CL25,9,2025,2,25,2/25/25,TIJ,PUM,4,2,-105,270,255,,,
,CL25,9,2025,2,25,2/25/25,MAZ,MTY,1,0,320,250,-115,,,
,CL25,9,2025,2,26,2/26/25,ASL,GDL,3,1,270,250,100,,,
,CL25,9,2025,2,26,2/26/25,TOL,QRO,5,0,-380,500,900,,,
,CL25,9,2025,2,26,2/26/25,PAC,PUE,2,1,-215,340,550,,,
,CL25,10,2025,2,28,2/28/25,MAZ,CAZ,1,1,370,275,-135,,,
,CL25,10,2025,3,1,3/1/25,AME,TOL,3,0,-105,265,260,,,
,CL25,10,2025,3,1,3/1/25,JUA,PAC,2,2,250,245,105,,,
,CL25,10,2025,3,1,3/1/25,PUM,GDL,0,1,220,235,120,,,
,CL25,10,2025,3,1,3/1/25,NEC,TIG,1,2,160,235,170,,,
,CL25,10,2025,3,1,3/1/25,LEO,TIJ,2,1,-145,300,360,,,
,CL25,10,2025,3,2,3/2/25,ATLX,ASL,3,1,105,230,250,,,
,CL25,10,2025,3,2,3/2/25,MTY,SAN,4,2,-425,500,950,,,
,CL25,10,2025,3,2,3/2/25,QRO,PUE,2,0,130,235,205,,,
,CL25,11,2025,3,7,3/7/25,PUE,PUM,1,3,195,215,145,,,
,CL25,11,2025,3,7,3/7/25,TIG,QRO,1,0,-245,380,650,,,
,CL25,11,2025,3,7,3/7/25,ASL,JUA,1,0,130,235,215,,,
,CL25,11,2025,3,8,3/8/25,PAC,MAZ,1,1,-285,425,700,,,
,CL25,11,2025,3,8,3/8/25,GDL,AME,0,0,220,220,125,,,
,CL25,11,2025,3,8,3/8/25,TOL,NEC,5,2,-170,340,400,,,
,CL25,11,2025,3,8,3/8/25,CAZ,MTY,1,1,-105,260,280,,,
,CL25,11,2025,3,9,3/9/25,TIJ,ATLX,3,4,-110,260,270,,,
,CL25,11,2025,3,9,3/9/25,SAN,LEO,2,1,295,275,-120,,,
,CL25,12,2025,3,14,3/14/25,PUE,TOL,0,3,450,320,-175,,,
,CL25,12,2025,3,14,3/14/25,NEC,LEO,2,1,110,255,230,,,
,CL25,12,2025,3,14,3/14/25,QRO,MAZ,1,0,105,230,260,,,
,CL25,12,2025,3,15,3/15/25,TIG,SAN,3,0,-360,500,850,,,
,CL25,12,2025,3,15,3/15/25,ATLX,AME,1,3,300,260,-115,,,
,CL25,12,2025,3,15,3/15/25,CAZ,ASL,3,0,-370,475,900,,,
,CL25,12,2025,3,15,3/15/25,JUA,GDL,1,1,210,210,135,,,
,CL25,12,2025,3,16,3/16/25,PUM,MTY,1,3,190,225,140,,,
,CL25,12,2025,3,16,3/16/25,PAC,TIJ,4,1,-255,425,600,,,
,CL25,13,2025,3,28,3/28/25,NEC,QRO,2,0,-200,330,500,,,
,CL25,13,2025,3,28,3/28/25,MAZ,ATLX,3,2,160,215,175,,,
,CL25,13,2025,3,29,3/29/25,AME,TIG,3,0,-120,245,350,,,
,CL25,13,2025,3,29,3/29/25,MTY,TIJ,1,2,-340,500,750,,,
,CL25,13,2025,3,29,3/29/25,JUA,PUE,2,0,-120,250,310,,,
,CL25,13,2025,3,29,3/29/25,TOL,PAC,3,2,-115,290,275,,,
,CL25,13,2025,3,29,3/29/25,GDL,CAZ,0,1,200,220,140,,,
,CL25,13,2025,3,30,3/30/25,LEO,PUM,1,2,115,240,235,,,
,CL25,13,2025,3,30,3/30/25,SAN,ASL,2,3,130,260,190,,,
,CL25,14,2025,4,4,4/4/25,QRO,LEO,1,1,290,255,-110,,,
,CL25,14,2025,4,4,4/4/25,PUE,TIG,0,0,230,215,130,,,
,CL25,14,2025,4,4,4/4/25,TIJ,NEC,1,2,150,290,150,,,
,CL25,14,2025,4,5,4/5/25,PAC,AME,1,0,170,240,155,,,
,CL25,14,2025,4,5,4/5/25,ASL,MAZ,3,1,110,245,245,,,
,CL25,14,2025,4,5,4/5/25,MTY,GDL,3,1,110,235,255,,,
,CL25,14,2025,4,5,4/5/25,CAZ,PUM,3,2,-145,265,400,,,
,CL25,14,2025,4,5,4/5/25,ATLX,JUA,1,1,105,250,260,,,
,CL25,14,2025,4,6,4/6/25,TOL,SAN,3,1,-525,600,1000,,,
,CL25,15,2025,4,10,4/10/25,TIJ,ASL,2,1,-130,320,285,,,
,CL25,15,2025,4,11,4/11/25,NEC,PAC,3,5,165,245,155,,,
,CL25,15,2025,4,11,4/11/25,MAZ,GDL,1,1,230,210,130,,,
,CL25,15,2025,4,12,4/12/25,PUM,JUA,0,0,-110,260,285,,,
,CL25,15,2025,4,12,4/12/25,LEO,PUE,1,2,-160,310,425,,,
,CL25,15,2025,4,12,4/12/25,TIG,MTY,2,1,145,230,190,,,
,CL25,15,2025,4,12,4/12/25,AME,CAZ,0,0,135,230,200,,,
,CL25,15,2025,4,12,4/12/25,ATLX,TOL,2,3,250,265,100,,,
,CL25,15,2025,4,13,4/13/25,SAN,QRO,1,2,110,255,235,,,
,CL25,16,2025,4,15,4/15/25,JUA,NEC,2,2,145,250,175,,,
,CL25,16,2025,4,15,4/15/25,GDL,PUE,1,0,-220,340,600,,,
,CL25,16,2025,4,15,4/15/25,PAC,TIG,0,0,-105,240,295,,,
,CL25,16,2025,4,15,4/15/25,CAZ,LEO,2,1,-140,310,340,,,
,CL25,16,2025,4,16,4/16/25,ASL,TOL,0,1,360,330,-155,,,
,CL25,16,2025,4,16,4/16/25,PUM,SAN,2,0,-320,450,750,,,
,CL25,16,2025,4,16,4/16/25,MAZ,TIJ,0,2,100,270,235,,,
